GenereBrano;TitoloBrano;IdBrano;TitoloAlbum;NomeArtista;AutoriBrano;DurataBrano;CostoBrano
Rock;For Those About To Rock (We Salute You);1;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;343719;0.99
Rock;Put The Finger On You;6;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;205662;0.99
Rock;Let's Get It Up;7;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;233926;0.99
Rock;Inject The Venom;8;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;210834;0.99
Rock;Snowballed;9;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;203102;0.99
Rock;Evil Walks;10;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;263497;0.99
Rock;C.O.D.;11;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;199836;0.99
Rock;Breaking The Rules;12;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;263288;0.99
Rock;Night Of The Long Knives;13;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;205688;0.99
Rock;Spellbound;14;For Those About To Rock We Salute You;AC/DC;Angus Young, Malcolm Young, Brian Johnson;270863;0.99
Rock;Balls to the Wall;2;Balls to the Wall;Accept;NULL;342562;0.99
Rock;Fast As a Shark;3;Restless and Wild;Accept;F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman;230619;0.99
Rock;Restless and Wild;4;Restless and Wild;Accept;F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman;252051;0.99
Rock;Princess of the Dawn;5;Restless and Wild;Accept;Deaffy & R.A. Smith-Diesel;375418;0.99
Rock;Go Down;15;Let There Be Rock;AC/DC;AC/DC;331180;0.99
Rock;Dog Eat Dog;16;Let There Be Rock;AC/DC;AC/DC;215196;0.99
Rock;Let There Be Rock;17;Let There Be Rock;AC/DC;AC/DC;366654;0.99
Rock;Bad Boy Boogie;18;Let There Be Rock;AC/DC;AC/DC;267728;0.99
Rock;Problem Child;19;Let There Be Rock;AC/DC;AC/DC;325041;0.99
Rock;Overdose;20;Let There Be Rock;AC/DC;AC/DC;369319;0.99
Rock;Hell Ain't A Bad Place To Be;21;Let There Be Rock;AC/DC;AC/DC;254380;0.99
Rock;Whole Lotta Rosie;22;Let There Be Rock;AC/DC;AC/DC;323761;0.99
Rock;Walk On Water;23;Big Ones;Aerosmith;Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw;295680;0.99
Rock;Love In An Elevator;24;Big Ones;Aerosmith;Steven Tyler, Joe Perry;321828;0.99
Rock;Rag Doll;25;Big Ones;Aerosmith;Steven Tyler, Joe Perry, Jim Vallance, Holly Knight;264698;0.99
Rock;What It Takes;26;Big Ones;Aerosmith;Steven Tyler, Joe Perry, Desmond Child;310622;0.99
Rock;Dude (Looks Like A Lady);27;Big Ones;Aerosmith;Steven Tyler, Joe Perry, Desmond Child;264855;0.99
Rock;Janie's Got A Gun;28;Big Ones;Aerosmith;Steven Tyler, Tom Hamilton;330736;0.99
Rock;Cryin';29;Big Ones;Aerosmith;Steven Tyler, Joe Perry, Taylor Rhodes;309263;0.99
